Sample ID,short_id,Flr_sample,,run,vol_Etoh,value_rfu
CH190125,125,SAMPLE-132,,run2,20,493.5
CH190126,126,SAMPLE-133,,run2,20,4945.01
CH190127,127,SAMPLE-134,,run2,20,1547.05
CH190128,128,SAMPLE-135,,run2,20,6648.09
CH190129,129,SAMPLE-136,,run2,20,309.85
CH190130,130,SAMPLE-137,,run2,20,1741.82
CH190131,131,SAMPLE-138,,run2,20,1523.9
CH190132,132,SAMPLE-139,,run2,20,8441.93
CH190133,133,SAMPLE-140,,run2,20,783.35
CH190134,134,SAMPLE-141,,run2,20,2899.53
CH190135,135,AMPLE-142,,run2,20,863.85
CH190136,136,SAMPLE-143,,run2,20,3851.86
