"","Flr_sample","value_rfu","short_id","SampleID","vol_Etoh","run","Notes","vol_tile","vol_scrub","DATE","WEIR-REP","notes","subs"
"240","SAMPLE-310",6116.67,244,"CH190244",25,"run4",NA,10,25,2019-08-26,"W3-M",NA,"M"
"241","SAMPLE-311",815.29,245,"CH190245",10,"run4",NA,10,25,2019-08-26,"W4-T",NA,"T"
"242","SAMPLE-312",3860.12,246,"CH190246",25,"run4",NA,10,25,2019-08-26,"W4-M",NA,"M"
"243","SAMPLE-313",2237.83,247,"CH190247",10,"run4",NA,10,25,2019-08-26,"W5-T",NA,"T"
"244","SAMPLE-314",3998.44,248,"CH190248",25,"run4",NA,10,25,2019-08-26,"W5-M",NA,"M"
"245","SAMPLE-315",2158.69,249,"CH190249",10,"run4",NA,10,25,2019-08-26,"W6-T",NA,"T"
"246","SAMPLE-316",6962.89,250,"CH190250",25,"run4",NA,10,25,2019-08-26,"W6-M",NA,"M"
"247","SAMPLE-317",2442.61,251,"CH190251",10,"run4",NA,10,25,2019-08-26,"W9-T",NA,"T"
"248","SAMPLE-318",7162.32,252,"CH190252",25,"run4",NA,10,25,2019-08-26,"W9-M",NA,"M"
"249","SAMPLE-319",2348.25,253,"CH190253",10,"run4",NA,10,25,2019-09-03,"W1-T",NA,"T"
"250","SAMPLE-320",5139.88,254,"CH190254",25,"run4",NA,10,25,2019-09-03,"W1-M",NA,"M"
"251","SAMPLE-321",1373.98,255,"CH190255",10,"run4",NA,10,25,2019-09-03,"W2-T",NA,"T"
"252","SAMPLE-322",2692.88,256,"CH190256",25,"run4",NA,10,25,2019-09-03,"W2-M",NA,"M"
"253","SAMPLE-323",3464.04,257,"CH190257",10,"run4",NA,10,25,2019-09-03,"W3-T",NA,"T"
"254","SAMPLE-324",5174.13,258,"CH190258",25,"run4",NA,10,25,2019-09-03,"W3-M",NA,"M"
"255","SAMPLE-325",1789.86,259,"CH190259",10,"run4",NA,10,25,2019-09-03,"W4-T",NA,"T"
"256","SAMPLE-326",3681.58,260,"CH190260",25,"run4",NA,10,25,2019-09-03,"W4-M",NA,"M"
"257","SAMPLE-327",3384.12,261,"CH190261",10,"run4",NA,10,25,2019-09-03,"W5-T",NA,"T"
"258","SAMPLE-328",5154.46,262,"CH190262",25,"run4",NA,10,25,2019-09-03,"W5-M",NA,"M"
"259","SAMPLE-329",3033.8,263,"CH190263",10,"run4",NA,10,25,2019-09-03,"W6-T",NA,"T"
"260","SAMPLE-330",7540.05,264,"CH190264",25,"run4",NA,10,25,2019-09-03,"W6-M",NA,"M"
"261","SAMPLE-331",2099.52,265,"CH190265",10,"run4",NA,10,25,2019-09-03,"W9-T",NA,"T"
"262","SAMPLE-332",7542.57,266,"CH190266",25,"run4",NA,10,25,2019-09-03,"W9-M",NA,"M"
"263","SAMPLE-333",3153.23,267,"CH190267",10,"run4",NA,10,25,2019-09-09,"W1-T",NA,"T"
"264","SAMPLE-334",5469.6,268,"CH190268",25,"run4",NA,10,25,2019-09-09,"W1-M",NA,"M"
"265","SAMPLE-335",936.05,269,"CH190269",10,"run4",NA,10,25,2019-09-09,"W2-T",NA,"T"
"266","SAMPLE-336",2475.17,270,"CH190270",25,"run4",NA,10,25,2019-09-09,"W2-M",NA,"M"
"267","SAMPLE-337",1751.17,271,"CH190271",10,"run4",NA,10,25,2019-09-09,"W3-T",NA,"T"
"268","SAMPLE-338",3693.44,272,"CH190272",25,"run4",NA,10,25,2019-09-09,"W3-M",NA,"M"
"269","SAMPLE-339",2091.63,273,"CH190273",10,"run4",NA,10,25,2019-09-09,"W4-T",NA,"T"
"270","SAMPLE-340",4147.81,274,"CH190274",25,"run4",NA,10,25,2019-09-09,"W4-M",NA,"M"
"271","SAMPLE-341",2810.55,275,"CH190275",10,"run4",NA,10,25,2019-09-09,"W5-T",NA,"T"
"272","SAMPLE-342",4913.47,276,"CH190276",25,"run4",NA,10,25,2019-09-09,"W5-M",NA,"M"
"273","SAMPLE-343",1310.5,277,"CH190277",10,"run4","missing moss (278), lugals sample for tile; was CH190277L",10,25,2019-09-09,"W6-T",NA,"T"
"274","SAMPLE-344",1194.02,278,"CH190278",25,"run4",NA,10,25,2019-09-09,"W6-M",NA,"M"
"275","SAMPLE-345",1416.25,279,"CH190279",10,"run4",NA,10,25,2019-09-09,"W9-T",NA,"T"
"276","SAMPLE-346",6366.67,280,"CH190280",25,"run4",NA,10,25,2019-09-09,"W9-M",NA,"M"
"277","SAMPLE-347",2922.25,281,"CH190281",10,"run4",NA,10,25,2019-09-16,"W1-T",NA,"T"
"278","SAMPLE-348",5867.67,282,"CH190282",25,"run4",NA,10,25,2019-09-16,"W1-M",NA,"M"
"279","SAMPLE-349",916.03,283,"CH190283",10,"run4",NA,10,25,2019-09-16,"W2-T",NA,"T"
"280","SAMPLE-350",2494.59,284,"CH190284",25,"run4",NA,10,25,2019-09-16,"W2-M",NA,"M"
"281","SAMPLE-351",2373.52,285,"CH190285",10,"run4",NA,10,25,2019-09-16,"W3-T",NA,"T"
"282","SAMPLE-352",3391.47,286,"CH190286",25,"run4",NA,10,25,2019-09-16,"W3-M",NA,"M"
"283","SAMPLE-353",1723.57,287,"CH190287",10,"run4",NA,10,25,2019-09-16,"W4-T",NA,"T"
"284","SAMPLE-354",4016.35,288,"CH190288",25,"run4",NA,10,25,2019-09-16,"W4-M",NA,"M"
"285","SAMPLE-355",2585.13,289,"CH190289",10,"run4",NA,10,25,2019-09-16,"W5-T",NA,"T"
"286","SAMPLE-356",4816.85,290,"CH190290",25,"run4",NA,10,25,2019-09-16,"W5-M",NA,"M"
"287","AMPLE-357",1882.58,291,"CH190291",10,"run4",NA,10,25,2019-09-16,"W6-T",NA,"T"
"288","SAMPLE-358",5897.49,292,"CH190292",25,"run4",NA,10,25,2019-09-16,"W6-M",NA,"M"
"289","SAMPLE-359",1445.38,293,"CH190293",10,"run4",NA,10,25,2019-09-16,"W9-T",NA,"T"
"290","SAMPLE-360",6573.89,294,"CH190294",25,"run4",NA,10,25,2019-09-16,"W9-M",NA,"M"
"291","SAMPLE-361",3703.26,295,"CH190295",10,"run4",NA,10,25,2019-09-23,"W1-T",NA,"T"
"292","SAMPLE-362",5691.98,296,"CH190296",25,"run4",NA,10,25,2019-09-23,"W1-M",NA,"M"
"293","SAMPLE-363",1199.81,297,"CH190297",10,"run4",NA,10,25,2019-09-23,"W2-T",NA,"T"
"294","SAMPLE-364",2539.12,298,"CH190298",25,"run4",NA,10,25,2019-09-23,"W2-M",NA,"M"
"295","SAMPLE-365",3311.59,299,"CH190299",10,"run4",NA,10,25,2019-09-23,"W3-T",NA,"T"
"296","SAMPLE-366",5891.41,300,"CH190300",25,"run4",NA,10,25,2019-09-23,"W3-M",NA,"M"
"297","SAMPLE-001",1827.96,301,"CH190301",10,"run5",NA,10,25,2019-09-23,"W4-T",NA,"T"
"298","SAMPLE-002",4791.34,302,"CH190302",25,"run5",NA,10,25,2019-09-23,"W4-M",NA,"M"
"299","SAMPLE-003",2218.31,303,"CH190303",10,"run5",NA,10,25,2019-09-23,"W5-T",NA,"T"
"300","SAMPLE-004",5110.35,304,"CH190304",25,"run5",NA,10,25,2019-09-23,"W5-M",NA,"M"
"301","SAMPLE-005",3088.37,305,"CH190305",10,"run5",NA,10,25,2019-09-23,"W6-T",NA,"T"
"302","SAMPLE-006",5997.65,306,"CH190306",25,"run5",NA,10,25,2019-09-23,"W6-M",NA,"M"
"303","SAMPLE-007",1854.06,307,"CH190307",10,"run5",NA,10,25,2019-09-23,"W9-T",NA,"T"
"304","SAMPLE-008",5954.89,308,"CH190308",25,"run5",NA,10,25,2019-09-23,"W9-M",NA,"M"
"305","SAMPLE-009",2738.54,309,"CH190309",10,"run5",NA,10,25,2019-09-30,"W1-T",NA,"T"
"306","SAMPLE-010",5381.86,310,"CH190310",25,"run5",NA,10,25,2019-09-30,"W1-M",NA,"M"
"307","SAMPLE-011",993.94,311,"CH190311",10,"run5",NA,10,25,2019-09-30,"W2-T",NA,"T"
"308","SAMPLE-012",2282.02,312,"CH190312",25,"run5",NA,10,25,2019-09-30,"W2-M",NA,"M"
"309","SAMPLE-013",3676.02,313,"CH190313",10,"run5",NA,10,25,2019-09-30,"W3-T",NA,"T"
"310","SAMPLE-014",4516.31,314,"CH190314",25,"run5",NA,10,25,2019-09-30,"W3-M",NA,"M"
"311","SAMPLE-015",2142.66,315,"CH190315",10,"run5",NA,10,25,2019-09-30,"W4-T",NA,"T"
"312","AMPLE-016",4721.64,316,"CH190316",25,"run5",NA,10,25,2019-09-30,"W4-M",NA,"M"
"313","SAMPLE-017",2652.72,317,"CH190317",10,"run5",NA,10,25,2019-09-30,"W5-T",NA,"T"
"314","SAMPLE-018",4817.57,318,"CH190318",25,"run5",NA,10,25,2019-09-30,"W5-M",NA,"M"
"315","SAMPLE-019",2944.37,319,"CH190319",10,"run5",NA,10,25,2019-09-30,"W6-T",NA,"T"
"316","SAMPLE-020",4875.16,320,"CH190320",25,"run5",NA,10,25,2019-09-30,"W6-M",NA,"M"
"317","SAMPLE-021",1789.28,321,"CH190321",10,"run5",NA,10,25,2019-09-30,"W9-T",NA,"T"
"318","SAMPLE-022",6370.88,322,"CH190322",25,"run5",NA,10,25,2019-09-30,"W9-M",NA,"M"
"319","SAMPLE-023",1904.18,323,"CH190323",10,"run5",NA,10,25,2019-10-07,"W1-T",NA,"T"
"320","SAMPLE-024",5640.93,324,"CH190324",25,"run5",NA,10,25,2019-10-07,"W1-M",NA,"M"
"321","SAMPLE-025",782.28,325,"CH190325",10,"run5",NA,10,25,2019-10-07,"W2-T",NA,"T"
"322","SAMPLE-026",2134.29,326,"CH190326",25,"run5",NA,10,25,2019-10-07,"W2-M",NA,"M"
"323","SAMPLE-027",3199.39,327,"CH190327",10,"run5",NA,10,25,2019-10-07,"W3-T",NA,"T"
"324","SAMPLE-028",4311.91,328,"CH190328",25,"run5",NA,10,25,2019-10-07,"W3-M",NA,"M"
"325","SAMPLE-029",1795.42,329,"CH190329",10,"run5",NA,10,25,2019-10-07,"W4-T",NA,"T"
"326","SAMPLE-030",6516.71,330,"CH190330",25,"run5",NA,10,25,2019-10-07,"W4-M",NA,"M"
"327","SAMPLE-031",2357.93,331,"CH190331",10,"run5",NA,10,25,2019-10-07,"W5-T",NA,"T"
"328","SAMPLE-032",4854.7,332,"CH190332",25,"run5",NA,10,25,2019-10-07,"W5-M",NA,"M"
"329","SAMPLE-033",2151.09,333,"CH190333",10,"run5",NA,10,25,2019-10-07,"W6-T",NA,"T"
"330","SAMPLE-034",5124.98,334,"CH190334",25,"run5",NA,10,25,2019-10-07,"W6-M",NA,"M"
"331","SAMPLE-035",1522.61,335,"CH190335",10,"run5",NA,10,25,2019-10-07,"W9-T",NA,"T"
"332","SAMPLE-036",6314.78,336,"CH190336",25,"run5",NA,10,25,2019-10-07,"W9-M",NA,"M"
"333","SAMPLE-037",1772.66,337,"CH190337",10,"run5",NA,10,25,2019-10-15,"W1-T",NA,"T"
"334","SAMPLE-038",4994,338,"CH190338",25,"run5",NA,10,25,2019-10-15,"W1-M",NA,"M"
"335","SAMPLE-039",1042.96,339,"CH190339",10,"run5",NA,10,25,2019-10-15,"W2-T",NA,"T"
"336","SAMPLE-040",1863.28,340,"CH190340",25,"run5",NA,10,25,2019-10-15,"W2-M",NA,"M"
"337","SAMPLE-041",3806.29,341,"CH190341",10,"run5",NA,10,25,2019-10-15,"W3-T",NA,"T"
"338","SAMPLE-042",4188.52,342,"CH190342",25,"run5",NA,10,25,2019-10-15,"W3-M",NA,"M"
"339","SAMPLE-043",5095.27,343,"CH190343",10,"run5","filamentous algae",10,25,2019-10-15,"W4-T",NA,"T"
"340","SAMPLE-044",4329,344,"CH190344",25,"run5",NA,10,25,2019-10-15,"W4-M",NA,"M"
"341","SAMPLE-045",1971.82,345,"CH190345",10,"run5",NA,10,25,2019-10-15,"W5-T",NA,"T"
"342","SAMPLE-046",4611.73,346,"CH190346",25,"run5",NA,10,25,2019-10-15,"W5-M",NA,"M"
"343","SAMPLE-047",2415.38,347,"CH190347",10,"run5",NA,10,25,2019-10-15,"W6-T",NA,"T"
"344","SAMPLE-048",5391.81,348,"CH190348",25,"run5",NA,10,25,2019-10-15,"W6-M",NA,"M"
"345","SAMPLE-049",1807.39,349,"CH190349",10,"run5",NA,10,25,2019-10-15,"W9-T",NA,"T"
"346","SAMPLE-050",6577.58,350,"CH190350",25,"run5",NA,10,25,2019-10-15,"W9-M",NA,"M"
"347","SAMPLE-051",2367.95,351,"CH190351",10,"run5",NA,10,25,2019-10-21,"W1-T",NA,"T"
"348","SAMPLE-052",5535.98,352,"CH190352",25,"run5",NA,10,25,2019-10-21,"W1-M",NA,"M"
"349","SAMPLE-053",942.71,353,"CH190353",10,"run5",NA,10,25,2019-10-21,"W2-T",NA,"T"
"350","SAMPLE-054",2335.02,354,"CH190354",25,"run5",NA,10,25,2019-10-21,"W2-M",NA,"M"
"351","SAMPLE-055",3220.1,355,"CH190355",10,"run5",NA,10,25,2019-10-21,"W3-T",NA,"T"
"352","SAMPLE-056",3834.46,356,"CH190356",25,"run5",NA,10,25,2019-10-21,"W3-M",NA,"M"
"353","SAMPLE-057",1686.88,357,"CH190357",10,"run5",NA,10,25,2019-10-21,"W4-T",NA,"T"
"354","SAMPLE-058",2855,358,"CH190358",25,"run5",NA,10,25,2019-10-21,"W4-M",NA,"M"
"355","SAMPLE-059",2001.67,359,"CH190359",10,"run5",NA,10,25,2019-10-21,"W5-T",NA,"T"
"356","SAMPLE-060",4677.18,360,"CH190360",25,"run5",NA,10,25,2019-10-21,"W5-M",NA,"M"
"357","SAMPLE-061",2025.84,361,"CH190361",10,"run5",NA,10,25,2019-10-21,"W6-T",NA,"T"
"358","SAMPLE-062",5263.01,362,"CH190362",25,"run5",NA,10,25,2019-10-21,"W6-M",NA,"M"
"359","SAMPLE-063",2015.17,363,"CH190363",10,"run5",NA,10,25,2019-10-21,"W9-T",NA,"T"
"360","SAMPLE-064",6314.06,364,"CH190364",25,"run5",NA,10,25,2019-10-21,"W9-M",NA,"M"
"361","SAMPLE-065",1753.89,365,"CH190365",10,"run5",NA,10,25,2019-10-28,"W1-T",NA,"T"
"362","SAMPLE-066",5017.13,366,"CH190366",25,"run5",NA,10,25,2019-10-28,"W1-M",NA,"M"
"363","SAMPLE-067",1094.03,367,"CH190367",10,"run5",NA,10,25,2019-10-28,"W2-T",NA,"T"
"364","SAMPLE-068",2231.49,368,"CH190368",25,"run5",NA,10,25,2019-10-28,"W2-M",NA,"M"
"365","SAMPLE-069",2508.65,369,"CH190369",10,"run5",NA,10,25,2019-10-28,"W3-T",NA,"T"
"366","SAMPLE-070",6606.77,370,"CH190370",25,"run5",NA,10,25,2019-10-28,"W3-M",NA,"M"
"367","SAMPLE-071",2537.55,371,"CH190371",10,"run5",NA,10,25,2019-10-28,"W4-T",NA,"T"
"368","SAMPLE-072",4936.38,372,"CH190372",25,"run5",NA,10,25,2019-10-28,"W4-M",NA,"M"
"369","SAMPLE-073",2069.38,373,"CH190373",10,"run5",NA,10,25,2019-10-28,"W5-T",NA,"T"
"370","SAMPLE-074",4560.06,374,"CH190374",25,"run5",NA,10,25,2019-10-28,"W5-M",NA,"M"
"371","SAMPLE-075",1614.56,375,"CH190375",10,"run5",NA,10,25,2019-10-28,"W6-T",NA,"T"
"372","SAMPLE-076",4779.27,376,"CH190376",25,"run5",NA,10,25,2019-10-28,"W6-M",NA,"M"
"373","SAMPLE-077",2360.57,377,"CH190377",10,"run5",NA,10,25,2019-10-28,"W9-T",NA,"T"
"374","SAMPLE-078",6451.53,378,"CH190378",25,"run5",NA,10,25,2019-10-28,"W9-M",NA,"M"
"375","SAMPLE-001",1661.03,379,"CH190379",10,"run6",NA,10,20,2019-11-04,"W1-T",NA,"T"
"376","SAMPLE-002",5042.81,380,"CH190380",20,"run6",NA,10,20,2019-11-04,"W1-M",NA,"M"
"377","SAMPLE-003",936.68,381,"CH190381",10,"run6",NA,10,20,2019-11-04,"W2-T",NA,"T"
"378","SAMPLE-004",2646.9,382,"CH190382",20,"run6",NA,10,20,2019-11-04,"W2-M",NA,"M"
"379","SAMPLE-005",1577.07,383,"CH190383",10,"run6",NA,10,20,2019-11-04,"W3-T",NA,"T"
"380","SAMPLE-006",2291.28,384,"CH190384",20,"run6",NA,10,20,2019-11-04,"W3-M",NA,"M"
"381","SAMPLE-007",2116.72,385,"CH190385",10,"run6",NA,10,20,2019-11-04,"W4-T",NA,"T"
"382","SAMPLE-008",4708.54,386,"CH190386",20,"run6",NA,10,20,2019-11-04,"W4-M",NA,"M"
"383","SAMPLE-009",1334.04,387,"CH190387",10,"run6",NA,10,20,2019-11-04,"W5-T",NA,"T"
"384","SAMPLE-010",4058.11,388,"CH190388",20,"run6",NA,10,20,2019-11-04,"W5-M",NA,"M"
"385","SAMPLE-011",821.12,389,"CH190389",10,"run6",NA,10,20,2019-11-04,"W6-T",NA,"T"
"386","SAMPLE-012",5101.45,390,"CH190390",20,"run6",NA,10,20,2019-11-04,"W6-M",NA,"M"
"387","SAMPLE-013",1650.11,391,"CH190391",10,"run6",NA,10,20,2019-11-04,"W9-T",NA,"T"
"388","SAMPLE-014",6775.96,392,"CH190392",20,"run6",NA,10,20,2019-11-04,"W9-M",NA,"M"
